id;ANTIGUEDAD;SALDO_TOTAL;SALDO_RESUMEN;CANT_TARJETAS;EDAD;ESTADO_CIVIL;SEXO;CUENTA_BASICA;INGRESOS_NETOS;MAXIMA_MORA;ENDEUDAMIENTO;SIT_MAYOR1;SEGMENTO;SITUACION;DIRTY
51;104;1838,97;325,78;2;81;Viudo/a;MASCULINO;0;34812,10;0;0,02;0;JUBILADO PROVIN;1;0
52;104;19443,91;3454,70;1;79;Viudo/a;MASCULINO;0;55555,98;0;0,03;0;JUBILADO PROVIN;0;0
53;68;10842,83;4943,56;3;79;Divorciado/a;FEMENINO;0;44395,84;0;0,26;0;JUBILADO PROVIN;1;0
54;113;34202,70;8540,33;2;67;Viudo/a;FEMENINO;0;54956,27;0;0,38;14;JUBILADO PROVIN;4;0
55;88;7624,47;1815,00;2;67;Viudo/a;FEMENINO;0;67503,76;0;0,35;0;JUBILADO PROVIN;1;0
56;110;44869,72;39136,66;1;67;Divorciado/a;FEMENINO;0;40637,51;0;0,06;0;JUBILADO PROVIN;1;0
57;111;801,47;801,47;1;71;Casado/a;FEMENINO;0;25980,03;0;0,00;0;JUBILADO PROVIN;0;0
58;115;14462,91;4765,51;1;67;Casado/a;FEMENINO;1;41644,37;0;0,00;0;JUBILADO PROVIN;1;0
59;113;61786,78;20078,05;1;76;Casado/a;MASCULINO;0;30130,43;0;0,58;19;JUBILADO PROVIN;0;0
60;68;42216,44;11057,08;1;74;Soltero/a;MASCULINO;0;20317,01;0;0,52;0;JUBILADO PROVIN;0;0
61;35;31540,86;19196,13;0;80;Soltero/a;MASCULINO;0;12147,29;0;0,63;0;JUBILADO NACION;1;0
62;111;29417,49;3656,88;1;78;Casado/a;FEMENINO;1;59883,86;0;0,18;0;JUBILADO PROVIN;1;0
63;114;71554,59;30343,41;1;73;Casado/a;MASCULINO;0;244275,11;0;0,06;0;JUBILADO PROVIN;1;0
64;104;8333,63;4460,07;2;71;Casado/a;MASCULINO;0;20844,80;0;0,04;0;JUBILADO PROVIN;0;0
65;111;4606,49;2079,73;1;89;Viudo/a;FEMENINO;0;20564,09;30;0,07;0;JUBILADO PROVIN;0;0
66;98;25118,20;10076,00;1;77;Divorciado/a;MASCULINO;0;25924,35;4;0,22;0;META4;0;0
67;104;12475,10;4760,70;1;77;Soltero/a;FEMENINO;0;27803,51;0;0,23;0;JUBILADO PROVIN;0;0
68;114;20111,52;6847,28;2;68;Casado/a;FEMENINO;0;104417,73;0;0,12;0;META4;1;0
69;11;12173,90;4168,05;1;80;Soltero/a;MASCULINO;0;39286,13;0;0,10;0;JUBILADO NACION;1;0
70;95;45497,41;11544,65;1;78;Casado/a;MASCULINO;0;134860,20;0;0,09;0;CONVENIO;1;0
